artist,artwork,year,location
El Greco,The Burial of the Count of Orgaz,1586,Iglesia de Santo Tomé (Toledo)
El Greco,View of Toledo,1596,Metropolitan Museum of Art
El Greco,The Disrobing of Christ,1577,Toledo Cathedral
El Greco,Opening of the Fifth Seal,1608,Metropolitan Museum of Art
El Greco,The Holy Trinity,1577,Prado Museum
El Greco,Laocoön,1610,National Gallery of Art (Washington)
El Greco,The Annunciation,1596,Prado Museum
El Greco,Christ Carrying the Cross,1580,Prado Museum
El Greco,The Adoration of the Shepherds,1612,Prado Museum
El Greco,Portrait of a Man,1590,Metropolitan Museum of Art
Jean-Auguste-Dominique Ingres,Grande Odalisque,1814,Louvre Museum
Jean-Auguste-Dominique Ingres,The Turkish Bath,1862,Louvre Museum
Jean-Auguste-Dominique Ingres,Portrait of Monsieur Bertin,1832,Louvre Museum
Jean-Auguste-Dominique Ingres,Apotheosis of Homer,1827,Louvre Museum
Jean-Auguste-Dominique Ingres,Valpinçon Bather,1808,Louvre Museum
Jean-Auguste-Dominique Ingres,Portrait of Madame Moitessier,1856,National Gallery (London)
Jean-Auguste-Dominique Ingres,Portrait of the Comtesse d'Haussonville,1845,Frick Collection
Jean-Auguste-Dominique Ingres,Joan of Arc at the Coronation,1854,Louvre Museum
Jean-Auguste-Dominique Ingres,Oedipus and the Sphinx,1808,Louvre Museum
Jean-Auguste-Dominique Ingres,Vow of Louis XIII,1824,Musée Fabre (Montpellier)
Eugène Delacroix,Liberty Leading the People,1830,Louvre Museum
Eugène Delacroix,The Death of Sardanapalus,1827,Louvre Museum
Eugène Delacroix,Women of Algiers,1834,Louvre Museum
Eugène Delacroix,Massacre at Chios,1824,Louvre Museum
Eugène Delacroix,The Barque of Dante,1822,Louvre Museum
Eugène Delacroix,Medea About to Kill Her Children,1838,Louvre Museum
Eugène Delacroix,Arab Horses Fighting,1860,Musée d'Orsay
Eugène Delacroix,The Lion Hunt,1855,Art Institute of Chicago
Eugène Delacroix,Christ on the Sea of Galilee,1854,Metropolitan Museum of Art
Eugène Delacroix,Entry of the Crusaders into Constantinople,1840,Louvre Museum
Édouard Manet,Olympia,1863,Musée d'Orsay
Édouard Manet,Le Déjeuner sur l'herbe,1863,Musée d'Orsay
Édouard Manet,A Bar at the Folies-Bergère,1882,Courtauld Gallery
Édouard Manet,The Fifer,1866,Musée d'Orsay
Édouard Manet,The Balcony,1868,Musée d'Orsay
Édouard Manet,Berthe Morisot with a Bouquet of Violets,1872,Museum of Fine Arts (Boston)
Édouard Manet,The Railway,1873,National Gallery of Art (Washington)
Édouard Manet,The Plum,1878,National Gallery of Art (Washington)
Édouard Manet,The Spanish Singer,1860,Metropolitan Museum of Art
Édouard Manet,The Dead Toreador,1864,National Gallery of Art (Washington)
Édouard Manet,The Execution of Emperor Maximilian,1868,National Gallery (London)
Claude Monet,Impression Sunrise,1872,Musée Marmottan Monet
Claude Monet,Water Lilies (Large Decorations),1926,Musée de l'Orangerie
Claude Monet,Rouen Cathedral Series,1894,Various Museums
Claude Monet,Haystacks Series,1891,Various Museums
Claude Monet,The Japanese Bridge,1899,National Gallery (Washington)
Claude Monet,The Artist's Garden at Giverny,1900,Musée d'Orsay
Claude Monet,Women in the Garden,1866,Musée d'Orsay
Claude Monet,The Cliff Walk at Pourville,1882,Art Institute of Chicago
Claude Monet,San Giorgio Maggiore at Dusk,1908,National Museum Cardiff
Pierre-Auguste Renoir,Dance at Le Moulin de la Galette,1876,Musée d'Orsay
Pierre-Auguste Renoir,Luncheon of the Boating Party,1881,Phillips Collection
Pierre-Auguste Renoir,Two Sisters on the Terrace,1881,Art Institute of Chicago
Pierre-Auguste Renoir,The Swing,1876,Musée d'Orsay
Pierre-Auguste Renoir,La Loge,1874,Courtauld Gallery
Pierre-Auguste Renoir,Girl with a Hoop,1885,National Gallery of Art (Washington)
Pierre-Auguste Renoir,Bather,1887,Hyogo Prefectural Museum of Art
Pierre-Auguste Renoir,Portrait of Madame Georges Charpentier,1877,Metropolitan Museum of Art
Pierre-Auguste Renoir,By the Seashore,1883,Metropolitan Museum of Art
Vincent van Gogh,Starry Night,1889,Museum of Modern Art (NYC)
Vincent van Gogh,Sunflowers,1888,National Gallery (London)
Vincent van Gogh,The Bedroom,1888,Art Institute of Chicago
Vincent van Gogh,Irises,1889,J. Paul Getty Museum
Vincent van Gogh,Wheatfield with Crows,1890,Van Gogh Museum
Vincent van Gogh,Café Terrace at Night,1888,Kroller-Muller Museum
Vincent van Gogh,Self-Portrait,1889,Musée d'Orsay
Vincent van Gogh,The Night Café,1888,Yale University Art Gallery
Vincent van Gogh,Almond Blossoms,1890,Van Gogh Museum
Vincent van Gogh,Portrait of Dr. Gachet,1890,Private Collection
Paul Cézanne,The Card Players,1895,Musée d'Orsay
Paul Cézanne,Mont Sainte-Victoire,1902,Various Museums
Paul Cézanne,The Bathers,1906,Philadelphia Museum of Art
Paul Cézanne,Still Life with Apples,1895,Metropolitan Museum of Art
Paul Cézanne,Self-Portrait,1879,Musée d'Orsay
Paul Cézanne,The Basket of Apples,1893,Art Institute of Chicago
Paul Cézanne,The Boy in the Red Vest,1889,National Gallery of Art (Washington)
Paul Cézanne,Still Life with a Curtain,1895,State Hermitage Museum
Paul Cézanne,House of the Hanged Man,1873,Musée d'Orsay
Paul Cézanne,The Large Bathers,1906,Philadelphia Museum of Art
Henri Matisse,The Dance,1910,State Hermitage Museum
Henri Matisse,The Red Room,1908,State Hermitage Museum
Henri Matisse,Blue Nude,1907,Baltimore Museum of Art
Henri Matisse,The Snail,1953,Tate Modern
Henri Matisse,The Dessert: Harmony in Red,1908,State Hermitage Museum
Henri Matisse,La Gerbe,1953,Los Angeles County Museum of Art
Henri Matisse,Portrait of Madame Matisse,1913,Statens Museum for Kunst
Henri Matisse,Interior with a Young Girl,1905,Metropolitan Museum of Art
Henri Matisse,Still Life with Geraniums,1910,Detroit Institute of Arts
Henri Matisse,The Piano Lesson,1916,Museum of Modern Art (NYC)
Pablo Picasso,Les Demoiselles d'Avignon,1907,Museum of Modern Art (NYC)
Pablo Picasso,Guernica,1937,Museo Reina Sofía
Pablo Picasso,The Weeping Woman,1937,Tate Modern
Pablo Picasso,Girl Before a Mirror,1932,Museum of Modern Art (NYC)
Pablo Picasso,The Old Guitarist,1903,Art Institute of Chicago
Pablo Picasso,Portrait of Dora Maar,1937,Private Collection
Pablo Picasso,Three Musicians,1921,Museum of Modern Art (NYC)
Pablo Picasso,Family of Saltimbanques,1905,National Gallery of Art (Washington)
Pablo Picasso,La Vie,1903,Cleveland Museum of Art
Pablo Picasso,The Blue Room,1901,Phillips Collection
Wassily Kandinsky,Composition VII,1913,Tretyakov Gallery
Wassily Kandinsky,Composition VIII,1923,Guggenheim Museum
Wassily Kandinsky,Blue Rider,1903,Private Collection
Wassily Kandinsky,Yellow-Red-Blue,1925,Centre Pompidou
Wassily Kandinsky,Improvisation 28,1912,Guggenheim Museum
Wassily Kandinsky,Several Circles,1926,Guggenheim Museum
Wassily Kandinsky,Black Lines,1913,Guggenheim Museum
Wassily Kandinsky,Composition X,1939,Swiss Private Collection
Wassily Kandinsky,Impression III (Concert),1911,Städtische Galerie im Lenbachhaus
Wassily Kandinsky,Untitled (First Abstract Watercolor),1910,Private Collection
Edgar Degas,The Ballet Class,1874,Musée d'Orsay
Edgar Degas,The Dance Class,1874,Metropolitan Museum of Art
Edgar Degas,The Absinthe Drinker,1876,Musée d'Orsay
Edgar Degas,The Little Fourteen-Year-Old Dancer,1881,National Gallery of Art (Washington)
Edgar Degas,The Bellelli Family,1862,Musée d'Orsay
Edgar Degas,At the Races,1877,Metropolitan Museum of Art
Edgar Degas,L'Absinthe,1876,Musée d'Orsay
Edgar Degas,Combing the Hair,1896,National Gallery (London)
Edgar Degas,The Tub,1886,Musée d'Orsay
Edgar Degas,The Orchestra Musicians,1872,Museum of Fine Arts (Lyon)
Georges Seurat,A Sunday Afternoon on the Island of La Grande Jatte,1886,Art Institute of Chicago
Georges Seurat,Bathers at Asnières,1884,National Gallery (London)
Georges Seurat,The Circus,1891,Musée d'Orsay
Georges Seurat,The Eiffel Tower,1889,Private Collection
Georges Seurat,The Models,1888,Art Institute of Chicago
Georges Seurat,The Seine at Courbevoie,1885,Metropolitan Museum of Art
Georges Seurat,Gray Weather,1886,Musée d'Orsay
Georges Seurat,The Channel at Gravelines,1890,Musée d'Orsay
Georges Seurat,Peasant Woman Seated,1883,Musée d'Orsay
Georges Seurat,Young Woman Powdering Herself,1890,Courtauld Gallery
Marc Chagall,I and the Village,1911,Museum of Modern Art (NYC)
Marc Chagall,The Birthday,1915,Museum of Modern Art (NYC)
Marc Chagall,White Crucifixion,1938,Art Institute of Chicago
Marc Chagall,Paris Through the Window,1913,Metropolitan Museum of Art
Marc Chagall,Self-Portrait with Seven Fingers,1913,Stedelijk Museum
Marc Chagall,The Fiddler,1912,Guggenheim Museum
Marc Chagall,Green Violinist,1923,Guggenheim Museum
Marc Chagall,America Windows,1977,Art Institute of Chicago
Marc Chagall,The Promenade,1917,Tretyakov Gallery
Marc Chagall,The Ceiling of the Paris Opera,1964,Opéra Garnier (Paris)
